REF_DATE,GEO,Educators_per_1000
2024-01-01,Quebec,14.133377562847205
2024-02-01,Quebec,2.25810568200957
2024-03-01,Quebec,16.06900315371228
2024-04-01,Quebec,6.757504469006189
2024-05-01,Quebec,-4.309187588162788
2024-06-01,Quebec,-10.586965672480808
2024-07-01,Quebec,-12.83699762160921
2024-08-01,Quebec,-9.7364043333904
2024-09-01,Quebec,-2.9969581232284055
2024-10-01,Quebec,7.754783860724661
2024-11-01,Quebec,15.78179357242345
2024-12-01,Quebec,4.898174789144761
2025-01-01,Quebec,14.42781659835438
2025-02-01,Quebec,-2.235240889461148
2025-03-01,Quebec,16.41745305432958
2025-04-01,Quebec,6.589575385929444
2025-05-01,Quebec,-4.584835369649122
2025-06-01,Quebec,-10.670471395037543
2025-07-01,Quebec,-12.547443932100453
2025-08-01,Quebec,-9.170223438951966
2025-09-01,Quebec,-2.287134722738789
2025-10-01,Quebec,8.28040970056424
2025-11-01,Quebec,15.744464360050856
2025-12-01,Quebec,3.4925483382537177
2026-01-01,Quebec,14.574174356581947
2026-02-01,Quebec,-0.46636383547610016
2026-03-01,Quebec,16.729181784142234
2026-04-01,Quebec,6.400503069062333
2026-05-01,Quebec,-4.859037508164521
2026-06-01,Quebec,-10.739393301496245
2026-07-01,Quebec,-12.239143136142628
2026-08-01,Quebec,-8.59244419258009
2026-09-01,Quebec,-1.5802689833033634
2026-10-01,Quebec,8.782221402533088
2026-11-01,Quebec,15.67309556075148
2026-12-01,Quebec,2.1028656692034726
2027-01-01,Quebec,14.767148731100548
2027-02-01,Quebec,1.3232175355366198
2027-03-01,Quebec,17.003748285814876
2027-04-01,Quebec,6.190994938445272
2027-05-01,Quebec,-5.130813849359474
2027-06-01,Quebec,-10.793142236512784
2027-07-01,Quebec,-11.912274197511728
2027-08-01,Quebec,-8.003795377199964
2027-09-01,Quebec,-0.8773207651713055
2027-10-01,Quebec,9.259764389309034
2027-11-01,Quebec,15.568467150506676
2027-12-01,Quebec,0.7311588168234473
2028-01-01,Quebec,15.006796171761087
2028-02-01,Quebec,3.131524290917514
2028-03-01,Quebec,16.942421762628108
2028-04-01,Quebec,7.630923077919527
2028-05-01,Quebec,-3.4357689792565007
2028-06-01,Quebec,-9.713547063570212
2028-07-01,Quebec,-11.963579012696007
2028-08-01,Quebec,-8.862985724478893
